epoch,train_loss,train_final_role_loss,train_direct_role_loss,train_species_loss,train_consistency_loss,train_ti_verifier_loss,train_metallic_verifier_loss,train_verifier_loss,train_contrast_loss,train_gate_regret_loss,train_mean_gate,train_mean_expert_js_divergence,train_gate_selection_accuracy,train_one_right_gate_selection_accuracy,train_mean_routing_regret_nll,train_mean_weighted_gate_error,val_loss,val_final_role_loss,val_direct_role_loss,val_species_loss,val_consistency_loss,val_ti_verifier_loss,val_metallic_verifier_loss,val_verifier_loss,val_contrast_loss,val_gate_regret_loss,val_mean_gate,val_mean_expert_js_divergence,val_gate_selection_accuracy,val_one_right_gate_selection_accuracy,val_mean_routing_regret_nll,val_mean_weighted_gate_error,accuracy,macro_precision,macro_recall,macro_f1,learning_rate
1,3.357574879493195,1.1245842998188986,1.1315875630353924,2.5361372277833056,0.06983507765499843,0.4977641281586049,0.5742471249106346,1.0720112484946505,0.6746051369737687,0.7157542876720508,0.6080900268843862,0.016454873433140695,0.568193256165073,0.5561660561660562,0.11756012516683369,0.0379593787764367,2.40419592961344,0.8797043552651213,0.914472055583728,2.039870010358151,0.06159270731180999,0.2355906302312453,0.15906948649623312,0.3946601167274784,0.0,0.724492257443544,0.5584925829760754,0.01417157204319506,0.5872274143302181,0.5180722891566265,0.10341090280664185,0.03880013375169114,0.6596573208722741,0.6406814860559311,0.6641324301576725,0.6440484397448318,0.0001
2,2.634217253868821,0.8599657645123134,0.8663427046812775,2.0084225729475325,0.0456400917606443,0.39634142124378885,0.44482420201150386,0.8411656248751472,0.5807456160315735,0.7023314152802222,0.5257919983583056,0.010712261377038484,0.5299446401610468,0.48946515397082657,0.09062911106670449,0.03525053511108551,2.0598977514516528,0.7479454908415536,0.7637560976628573,1.7481735781345784,0.040161687381728046,0.2071973358127187,0.13874603951831474,0.34594337577203355,0.0,0.6993859517982816,0.48109052845529304,0.00962482564803698,0.5257009345794392,0.5175438596491229,0.08069021276424448,0.03329875856356241,0.7149532710280374,0.6906001714446803,0.7129965350200488,0.6982617381358138,0.0001
3,2.198794689900002,0.703490928152907,0.7145847905864053,1.7157037816098064,0.0362192341441317,0.3326863941080797,0.3435943683978396,0.6762807632158555,0.475402460249653,0.6950312332006293,0.5039990463776389,0.008675715993078363,0.5339708102667338,0.5377574370709383,0.07576335701443897,0.032702128025292085,2.1092019422774744,0.7933508504959653,0.8010651718047549,1.7150101854793751,0.03527739572097951,0.21357801473029306,0.15510634961900682,0.3686843628638259,0.0,0.7020979690774579,0.5033931901846719,0.0085578152796215,0.5342679127725857,0.5,0.07859188542356592,0.030005345958078498,0.6752336448598131,0.6628690497537406,0.6946867933336915,0.6607578548368022,0.0001
4,1.8828959300641626,0.5919124219086002,0.6067070128973289,1.4935728646108637,0.03422771659385206,0.2968781632507953,0.26160317412462736,0.5584813387446746,0.40813597577807287,0.6904328423665487,0.4794630033545717,0.008262477383832545,0.5420231504781077,0.5462962962962963,0.06847348951319328,0.030982748288951707,1.9845837090988396,0.742144195925781,0.7479787431773367,1.618008907338912,0.039859895266569294,0.1994482253988584,0.14482467749222788,0.34427289875961165,0.0,0.703179144599356,0.46427897127153717,0.009719579369048544,0.5584112149532711,0.6354166666666666,0.07894608516033605,0.03157869610411983,0.7204049844236761,0.7004987745658157,0.7232307091034816,0.7050335843228286,0.0001
5,1.6853766455943904,0.5231874655645339,0.539514079707478,1.366408482471422,0.03321570950527306,0.2668827430171227,0.20485880607284443,0.47174154920198835,0.359385143728629,0.6897555660369552,0.4575518648274652,0.007987009133198336,0.5428619359167924,0.5476190476190477,0.062946045901188,0.029500249312712935,1.8738758939077549,0.6854632229448478,0.7016584351426716,1.541717414915376,0.03975571606110932,0.19453042258169048,0.138283613222039,0.33281403473604504,0.0,0.7175676794809716,0.44385601973561484,0.00962813316974572,0.5459501557632399,0.575,0.0761524828288052,0.03003751282690469,0.7429906542056075,0.7261396766467484,0.7442307804200515,0.7322590849251488,0.0001
6,1.4721186469813519,0.4508098079051933,0.4668245188063212,1.2345775023960184,0.032309596952831476,0.21005112933664588,0.16143193299974448,0.3714830626769067,0.29216222451664503,0.6912524709663942,0.4590385280670765,0.007783681272597781,0.56836101325281,0.5850144092219021,0.0570516598758134,0.028223063954702664,1.9634316294364098,0.7352690839693182,0.7571055011771549,1.5606853178357039,0.03816942929803768,0.2112889341383337,0.15447552400028966,0.3657644551212543,0.0,0.7184433493287392,0.4561279423743765,0.009221674850254795,0.5646417445482866,0.5357142857142857,0.07679315320757124,0.02775021912222214,0.735981308411215,0.7150331809219921,0.7369942466064152,0.7217148235019347,0.0001
7,1.3476130300231317,0.4019227273471002,0.4172993217002944,1.1502985058565145,0.029791983132883518,0.1902881922952442,0.1486621925754498,0.3389503848350722,0.25118240480016085,0.6864358845062652,0.44101648976080493,0.007178687075611085,0.5344740815299447,0.5897435897435898,0.05260667295417706,0.02615293608360552,1.9311639495727801,0.7267717135101093,0.7214313070072191,1.524040790547463,0.03681244253183823,0.20660971221731644,0.16745898958492872,0.37406869992219216,0.0,0.7129842594405201,0.44200380071069223,0.008810828898317042,0.5428348909657321,0.45454545454545453,0.07284083206509577,0.02679932683203695,0.7453271028037384,0.7191694483177351,0.7394876740147868,0.7261488099985508,0.0001
8,1.190156567968632,0.3421156870485892,0.35501673069701783,1.0466522036073111,0.030202763637403148,0.16725840398407765,0.11949994846990351,0.2867583519979284,0.20756073669099084,0.6880506991720143,0.45739583276628426,0.00723085780647703,0.5442039926186881,0.5785714285714286,0.048736526012287076,0.025583649831291033,2.050776765725323,0.7863262341215603,0.7876423559270543,1.5775533149546923,0.03734165041292568,0.2171939140261148,0.18914672138163605,0.40634063466501386,0.0,0.7185880380256153,0.4772819361164934,0.009091571287192249,0.543613707165109,0.5797101449275363,0.07996386860662898,0.026940112797877523,0.7266355140186916,0.7022881070840057,0.7252889851086604,0.7092242313725555,0.0001
9,1.0479142029370223,0.2932848274967771,0.30880749843310956,0.9642900057415738,0.02765665466871723,0.12670035076991157,0.0903891169748592,0.21708946805425466,0.15110332031547274,0.6886176637326525,0.44927559614511486,0.006613643920564056,0.5363194094950512,0.5880149812734082,0.04436230396412781,0.0236725304666562,2.0992121261971017,0.8146837394556895,0.8321715695464351,1.5860091577809177,0.040249884708833845,0.23897722973655097,0.17873779101720852,0.41771502109285086,0.0,0.7059841690776504,0.4506531684453428,0.009484439076637029,0.588006230529595,0.5555555555555556,0.08300927897234829,0.026222852725961244,0.7305295950155763,0.7094348718082052,0.7266430417176801,0.7152892518745388,5e-05
10,0.8766909850021674,0.23152815053610368,0.24680523657344808,0.8401905124248664,0.02647591077620587,0.10966567131625062,0.05241784377992553,0.16208351476718227,0.11406092444325827,0.6827082864251478,0.4352366480200788,0.006344054105835633,0.5639993289716491,0.6018957345971564,0.037699619295828816,0.02154279876672327,2.0543199073859837,0.7886271246032923,0.8093590878901823,1.5566517458155147,0.038466161041523436,0.2511049933975267,0.16892368814144923,0.4200286803784493,0.0,0.7116615051792418,0.47126134645159,0.009240272406711134,0.5887850467289719,0.5555555555555556,0.07871160379425517,0.025400274265802613,0.7484423676012462,0.7323597296207118,0.7455991826555588,0.7349431324169579,5e-05
